Filename,Date/Time,Latitude,Longitude,DominantColor,AverageColor,Orientation
419444F8-B534-4776-BA1B-15DA52455FDF.jpeg,N/A,N/A,N/A,#644539,#7E7D77,Portrait
73765902717__91BE8E4B-1BF7-432E-AE44-F5DB267E1752.jpeg,N/A,N/A,N/A,#64523E,#807566,Portrait
IMG_0138.jpeg,N/A,N/A,N/A,#639CA6,#5B7A68,Portrait
IMG_0332.jpeg,N/A,N/A,N/A,#644A57,#85605A,Portrait
IMG_0336.jpeg,N/A,N/A,N/A,#646B73,#878A8D,Portrait
IMG_0385.jpeg,N/A,N/A,N/A,#64635F,#7E7666,Portrait
IMG_0462.jpeg,N/A,N/A,N/A,#645D82,#7C8AA3,Portrait
IMG_0591.jpeg,N/A,N/A,N/A,#64635F,#888177,Portrait
IMG_0595.jpeg,N/A,N/A,N/A,#646560,#8A8880,Portrait
IMG_0600.jpeg,N/A,N/A,N/A,#646458,#928463,Portrait
IMG_0605.jpeg,N/A,N/A,N/A,#648439,#867E63,Portrait
IMG_0613.jpeg,N/A,N/A,N/A,#E0DCD1,#888782,Portrait
IMG_0641.jpeg,N/A,N/A,N/A,#64421A,#9A744B,Portrait
IMG_0961.jpeg,N/A,N/A,N/A,#645332,#796E50,Portrait
IMG_1194.jpeg,N/A,N/A,N/A,#60564E,#A8A69E,Portrait
IMG_1652.jpeg,N/A,N/A,N/A,#64331C,#947D6E,Portrait
IMG_1731.jpeg,N/A,N/A,N/A,#645148,#8D8175,Portrait
IMG_1736.jpeg,N/A,N/A,N/A,#64513E,#AFAFAB,Portrait
IMG_1862.jpeg,N/A,N/A,N/A,#647114,#7E8A5C,Portrait
IMG_1877.jpeg,N/A,N/A,N/A,#64523B,#9E9586,Portrait
IMG_1878.jpeg,N/A,N/A,N/A,#645055,#877679,Portrait
IMG_1919.jpeg,N/A,N/A,N/A,#646774,#8F7A79,Portrait
IMG_2107.jpeg,N/A,N/A,N/A,#64859E,#B1454A,Portrait
IMG_2169.jpeg,N/A,N/A,N/A,#640616,#9E5F5C,Portrait
IMG_2546.jpeg,N/A,N/A,N/A,#644B23,#746A5C,Portrait
IMG_2562.jpeg,N/A,N/A,N/A,#648FB4,#849297,Portrait
IMG_2612.jpeg,N/A,N/A,N/A,#644431,#988173,Portrait
IMG_2776.jpeg,N/A,N/A,N/A,#645C57,#423A2C,Landscape
IMG_2811.jpeg,N/A,N/A,N/A,#643009,#8D7259,Portrait
IMG_2836.jpeg,N/A,N/A,N/A,#645A44,#4B698D,Portrait
IMG_2856.jpeg,N/A,N/A,N/A,#64533A,#6B5041,Portrait
IMG_2944.jpeg,N/A,N/A,N/A,#644B31,#A89B86,Portrait
IMG_2973.jpeg,N/A,N/A,N/A,#643C19,#B48246,Portrait
IMG_3044.jpeg,N/A,N/A,N/A,#645747,#A99A86,Portrait
IMG_3048.jpeg,N/A,N/A,N/A,#643517,#291A0E,Landscape
IMG_4216.jpeg,N/A,N/A,N/A,#644C32,#928576,Landscape
IMG_4326.jpeg,N/A,N/A,N/A,#644C3C,#8C6D54,Landscape
IMG_4500.jpeg,N/A,N/A,N/A,#646C74,#907F67,Portrait
IMG_4811.jpeg,N/A,N/A,N/A,#645920,#9C8F38,Portrait
IMG_5111.jpeg,N/A,N/A,N/A,#633712,#AF7635,Portrait
IMG_5123.jpeg,N/A,N/A,N/A,#645141,#918171,Portrait
IMG_5735.jpeg,N/A,N/A,N/A,#E9E9E9,#E89F5F,Landscape
IMG_5879.jpeg,N/A,N/A,N/A,#64281D,#AA735C,Portrait
IMG_5880.jpeg,N/A,N/A,N/A,#645955,#7A5F41,Portrait
IMG_6135.jpeg,N/A,N/A,N/A,#64431A,#9B794A,Portrait
IMG_6197.jpeg,N/A,N/A,N/A,#646466,#9D9C9E,Portrait
IMG_6378.jpeg,N/A,N/A,N/A,#643020,#6D432F,Portrait
IMG_6525.jpeg,N/A,N/A,N/A,#644E34,#805F42,Portrait
IMG_6633.jpeg,N/A,N/A,N/A,#64737D,#879082,Portrait
IMG_6701.jpeg,N/A,N/A,N/A,#645D67,#8F7852,Portrait
IMG_6878.jpeg,N/A,N/A,N/A,#646F71,#8F8D80,Portrait
IMG_6908.jpeg,N/A,N/A,N/A,#644932,#A89278,Portrait
IMG_7506.jpeg,N/A,N/A,N/A,#643306,#9D7043,Portrait
IMG_7542.jpeg,N/A,N/A,N/A,#64645E,#988F86,Portrait
IMG_8097.jpeg,N/A,N/A,N/A,#647D95,#8898A8,Portrait
IMG_8135.jpeg,N/A,N/A,N/A,#64645D,#A0A095,Portrait
IMG_8762.jpeg,N/A,N/A,N/A,#646464,#9E8E78,Portrait
IMG_8902.jpeg,N/A,N/A,N/A,#F5FAFE,#8C93AE,Portrait
IMG_9056.jpeg,N/A,N/A,N/A,#645337,#8D7A63,Portrait
IMG_9346.jpeg,N/A,N/A,N/A,#645342,#94836A,Landscape
IMG_9349.jpeg,N/A,N/A,N/A,#64B6C7,#5E7879,Portrait
IMG_9571.jpeg,N/A,N/A,N/A,#645A50,#9F9186,Portrait
IMG_9634.jpeg,N/A,N/A,N/A,#646463,#84807E,Portrait
IMG_9647.jpeg,N/A,N/A,N/A,#648374,#796E5A,Portrait
IMG_9654.jpeg,N/A,N/A,N/A,#640104,#965B2E,Portrait
IMG_9995.jpeg,N/A,N/A,N/A,#644138,#9B8A7D,Portrait
